SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1113.75,1118.00,1106.00,1110.35,1110.35,1109.95,355,2558,2840644.00,
500003,AEGIS LOGIS ,B ,Q,149.20,152.15,146.10,149.50,149.50,145.95,3534,240025,35680353.00,
500008,AMAR RAJA BA,A ,Q,910.00,915.95,901.55,909.40,909.80,909.10,1055,12435,11307122.00,
500009,A.SARABHAI  ,XD,Q,9.49,9.49,8.81,9.05,9.05,8.91,53,15277,139745.00,
500010,HDFC        ,A ,Q,1401.00,1408.00,1386.35,1395.95,1395.95,1402.70,2911,167897,234347474.00,
500012,ANDHRA PETRO,XC,Q,25.00,26.00,23.90,24.15,24.25,25.05,182,53662,1315367.00,
500013,ANSAL INFRAS,B ,Q,16.00,16.55,15.80,16.00,16.00,16.10,274,73345,1191227.00,
500014,APPLE FINANC,XD,Q,2.50,2.88,2.50,2.67,2.61,2.50,69,59878,166510.00,
500020,BOM DYEING  ,B ,Q,55.05,60.40,55.05,58.65,58.65,55.35,4996,958890,55637202.00,
500023,ASIANHOTNR  ,B ,Q,102.05,108.85,102.05,107.65,107.65,103.05,6,39,4005.00,
500024,ASSAMCO     ,T ,Q,6.42,6.70,6.41,6.63,6.63,6.58,117,101277,664659.00,
500027,ATUL LTD.   ,A ,Q,2293.25,2403.85,2293.25,2376.50,2376.50,2302.50,978,5355,12714978.00,
500028,ATV PROJECTS,XT,Q,6.48,6.51,6.05,6.26,6.21,6.20,39,16963,107419.00,
500029,AUTOLITE(I) ,B ,Q,53.95,55.00,53.05,53.85,53.85,53.20,42,9125,488907.00,
500031,BAJAJ ELECT.,A ,Q,246.00,250.70,244.50,249.95,249.95,245.00,361,18254,4541812.00,
500032,BAJAJHIND   ,B ,Q,14.80,15.35,14.80,15.03,15.03,14.78,1987,1331147,20170914.00,
500033,FORCE MOTR  ,B ,Q,4335.00,4344.00,4282.00,4297.25,4297.25,4337.20,5158,47524,204930444.00,
500034,BAJFINANCE  ,A ,Q,1058.70,1067.95,1042.00,1046.75,1046.75,1054.35,3197,60240,63441399.00,
500038,BALRAM.CHINI,A ,Q,154.80,155.15,150.45,153.50,153.50,153.20,1628,152279,23324506.00,
500039,BANCO PROD. ,B ,Q,214.40,217.00,211.50,213.60,214.00,212.85,851,31883,6840222.00,
500040,CENTURY TEXT,A ,Q,875.00,914.00,873.50,909.35,909.35,876.55,6394,231863,208119903.00,
500041,BANNARI AMAN,B ,Q,2029.00,2084.45,2029.00,2037.55,2032.05,2047.35,23,123,251230.00,
500042,BASF INDIA  ,B ,Q,1238.50,1251.15,1197.25,1206.35,1206.35,1240.65,1169,34272,41619230.00,
500043,BATA INDIA  ,A ,Q,486.00,497.70,481.70,492.75,492.75,486.30,943,25676,12601215.00,
500048,BEML LTD    ,A ,Q,1218.00,1272.00,1214.00,1256.40,1256.40,1217.15,5357,97777,122681769.00,
500049,BHARAT ELECT,A ,Q,1552.00,1568.75,1535.50,1543.20,1543.20,1546.40,2213,35725,55327229.00,
500052,BHANSALI ENG,B ,Q,23.85,25.00,23.70,24.40,24.40,24.25,460,158126,3883104.00,
500055,BHUSH STEEL ,B ,Q,60.00,63.45,59.15,59.65,59.65,60.85,3390,437986,26813707.00,
500058,BIHAR SPONGE,XT,Q,2.75,2.90,2.75,2.90,2.90,2.88,10,1540,4260.00,
500059,BINANI IND. ,B ,Q,79.00,82.35,78.50,81.10,81.10,78.35,679,37076,2996360.00,
500060,BIRLACABLE  ,B ,Q,45.90,46.50,44.65,46.40,46.50,45.65,36,8435,385037.00,
500067,BLUE STAR   ,B ,Q,541.20,543.35,529.00,537.85,539.00,538.65,383,3655,1950215.00,
500068,DISA INDIA  ,XC,Q,4390.00,4400.00,4365.05,4365.05,4365.05,4333.55,12,156,684664.00,
500069,BNK CAPITAL ,XD,Q,39.00,39.60,38.60,39.55,39.55,38.95,18,2429,94873.00,
500074,BPL LTD.    ,B ,Q,66.40,67.95,65.60,66.25,66.25,66.40,469,54286,3614427.00,
500078,CAMPH.& ALL ,XC,Q,688.00,705.00,688.00,700.15,700.20,678.25,60,2941,2058425.00,
500083,CENTURY EXT ,B ,Q,6.52,6.60,6.40,6.49,6.54,6.50,29,21964,141409.00,
500084,CESC LTD.   ,A ,Q,755.00,777.45,749.00,771.90,775.00,760.40,1979,39499,30297208.00,
500085,CHAMBAL FERT,B ,Q,78.75,80.80,78.00,79.15,79.15,78.35,1565,211129,16737896.00,
500086,EXIDE IND.  ,A ,Q,210.90,212.40,204.80,208.85,208.85,209.65,3950,318238,66223070.00,
500087,CIPLA LTD.  ,A ,Q,586.00,611.35,580.55,608.35,608.35,583.95,5565,318324,191699018.00,
500089,DIC INDIA   ,B ,Q,483.50,493.00,483.50,493.00,493.00,475.05,8,23,11149.00,
500092,CRISIL LTD  ,A ,Q,1997.65,2048.00,1997.65,2032.90,2022.00,1997.65,88,598,1215345.00,
500093,CROMPT.GREAV,A ,Q,67.40,68.65,66.10,67.80,67.80,66.70,2903,489940,33192756.00,
500096,DABUR (I)   ,A ,Q,276.00,276.00,268.65,269.30,269.30,273.80,1484,60085,16305459.00,
500097,DALMIASUG   ,B ,Q,197.00,198.00,191.60,193.65,193.65,196.65,1220,90309,17539208.00,
500101,ARVIND Ltd  ,A ,Q,378.90,385.80,374.85,377.90,377.90,376.65,2397,145572,55328179.00,
500102,BALARPUR IND,B ,Q,15.50,15.70,15.40,15.55,15.55,15.40,247,141254,2195154.00,
500103,BHEL        ,A ,Q,138.30,143.20,138.30,142.75,142.75,138.95,5270,758676,107497525.00,
500104,HIND.PETRO  ,A ,Q,551.60,551.60,540.00,543.15,543.15,551.60,2731,105611,57537938.00,
500106,IFCI LTD    ,A ,Q,31.45,32.60,31.25,31.70,31.70,30.95,6282,3158192,101065053.00,
500108,MAHA.TELE   ,B ,Q,20.50,24.35,20.30,24.35,24.35,20.30,12304,5240251,120787193.00,
500109,MRPL        ,A ,Q,104.75,106.95,103.50,105.05,105.05,104.50,3043,308526,32425502.00,
500110,CHENNAI PET.,B ,Q,341.80,344.40,333.10,338.65,338.65,338.35,2354,119897,40664177.00,
500111,REL.CAP.    ,A ,Q,471.00,496.00,470.65,489.60,489.60,471.30,10467,663964,324170694.00,
