Company Name,Company Code
ABB LTD.,500002
AEGIS LOGIS,500003
ARE&M,500008
A.SARABHAI,500009
ANDHRA PETRO,500012
UTIQUE,500014
ARUNAHTEL,500016
BOM DYEING,500020
ASIANHOTNR,500023
ATUL LTD.,500027
ATV PROJECTS,500028
BAJAJ ELECT.,500031
BAJAJHIND,500032
FORCE MOTR,500033
BAJFINANCE,500034
BALRAM.CHINI,500038
BANCO PROD.,500039
CENTURY TEXT,500040
BANNARI AMAN,500041
BASF INDIA,500042
BATA INDIA,500043
BEML LTD,500048
BHARAT ELECT,500049
BHANSALI ENG,500052
BIHAR SPONGE,500058
BINANI IND.,500059
BIRLACABLE,500060
BLUE STAR,500067
DISA INDIA,500068
QUESTCAP,500069
BPL LTD.,500074
OAL,500078
CENTURY EXT,500083
CESC LTD.,500084
CHAMBAL FERT,500085
EXIDE IND.,500086
CIPLA LTD.,500087
DIC INDIA,500089
CRISIL LTD,500092
CGPOWER,500093
DABUR (I),500096
DALMIASUG,500097
ARVIND Ltd,500101
BHEL,500103
HIND.PETRO,500104
IFCI LTD,500106
MAHA.TELE,500108
MRPL,500109
CHENNAI PET.,500110
STATE BANK,500112
STEEL AUTH.,500113
TITAN,500114
IDBI BANK L,500116
DCW LTD.,500117
DHAMPUR SUGA,500119
DIAMINES&CHM,500120
ELANTAS,500123
DR.REDDY'S,500124
E.I.D.PAR,500125
PGHL,500126
ELEC.CASTING,500128
ESAB INDIA,500133
EPL,500135
ESTER INDUS.,500136
FGP LTD.,500142
P.H.CAPITAL,500143
FINOL. CABLE,500144
COCKERILL,500147
UFLEX LTD,500148
FOSECO INDIA,500150
GOLDEN TOB,500151
GANESH BENZO,500153
METROGLOBL,500159
GTL LTD.,500160
GODFREY PH,500163
GODREJ IND,500164
KANSAI NERO,500165
GOODRICKE,500166
GOODYEAR (I),500168
GTN INDUS,500170
GHCL LTD,500171
GFLLIMITED,500173
GUJ.LEASE,500174
HCL INFOSYS,500179
HDFC BANK,500180
HEROMOTOCO,500182
HFCL,500183
HSCL,500184
HIND.CONSTN.,500185
HIND.OIL EXP,500186
AGI,500187
HINDUS.ZI,500188
NDLVENTURE,500189
HMT LTD.,500191
PRAG BOSIMI,500192
HLVLTD,500193
I.G.PETRO,500199
IND.GLYCOLS,500201
IND.LEAS.DEV,500202
MARGO FIN,500206
INDO RAMA,500207
INFOSYS LTD,500209
INGERSOLL,500210
INTER.TRAVEL,500213
ION EXCHANGE,500214
AGRO TECH FO,500215
JAIN IRRIG,500219
JCT LTD,500223
JINDAL POLYF,500227
JSWSL,500228
UMANG DAIR,500231
KAJARIA CER.,500233
KAKATIYA CEM,500234
KALYANI STEL,500235
KANELIND,500236
WHIRLPOOL,500238
KG DENIM,500239
KINETIC ENG.,500240
KIRL.BROS.,500241
KIRL INDUS,500243
KIRL.FERROUS,500245
ENVAIN ELECT,500246
KOTAK MAH.BK,500247
KSB,500249
L.G.BALKRISH,500250
TRENT LTD.,500251
LAXMIMACH,500252
LIC HOUS.FIN,500253
LUPIN LTD.,500257
LYKA LABS,500259
RAMCOCEM,500260
HYBRIDFIN,500262
MAFATLAL IND,500264
MAH.SEAMLESS,500265
MAH.SCOOTER,500266
MAJESTIC AUT,500267
MANALI PETRO,500268
BARODA RAYON,500270
MFSL,500271
MID INDIA IN,500277
MIRC ELECT,500279
CENTURY ENKA,500280
LORDS CHLORO,500284
SPICEJET LTD,500285
MOREPEN LAB.,500288
MRF LTD.,500290
HEIDEL CEM,500292
NCC,500294
VEDL,500295
NAHAR SPG.,500296
NAT.PEROXIDE,500298
GRASIM IND.,500300
PEL,500302
NIIT LTD.,500304
JAYKAY,500306
NIRLON,500307
ONGC CORPN,500312
OIL COUNTRY,500313
ORIENT HOTEL,500314
